mixed,cat,date,num
,CU31,2013-02-17,
0,7.00E+01,2013-02-18,0
,8K91,2013-02-16,
,KV21,2013-01-24,
,KV21,2013-02-22,
,KV21,2013-01-14,
,KV21,2013-03-01,
,KV21,2013-02-26,
,5D31,2013-02-08,
,1S52,2013-02-12,73.17460192
,5S31,2013-02-20,
,5S31,2013-02-14,
,5S31,2013-01-09,
,5S31,2013-01-22,
,5S31,2013-01-14,
,5S31,2013-02-21,
,5S31,2013-01-10,
,3L52,2013-02-06,
,3L52,2013-02-21,
,3L52,2013-02-18,
,3L52,2013-02-21,
,3L52,2013-02-03,
,3L52,2013-02-08,
,3L52,2013-01-18,
,3L52,2013-01-13,
,3L52,2013-01-21,
,5K12,2013-03-01,
,8A93,2013-01-03,17.69867
,HS12,2013-02-15,34.38113
,HS12,2013-02-02,0
,HS12,2013-02-03,36.26559
,HS12,2013-01-14,32.04958
,3B16,2013-02-16,83.15633373
,KS41,2013-01-27,
,KS41,2013-02-17,
,KS41,2013-01-15,
,5S31,2013-02-17,
,5S31,2013-01-23,
,5S31,2013-02-06,
,5S31,2013-01-21,
,5S31,2013-01-04,
,5S31,2013-01-17,
,5S11,2013-01-23,
,5S11,2013-02-09,
,HT33,2013-02-21,0
,HT33,2013-02-07,0
,1S51,2013-02-28,58.1665
,5.00E+52,2013-02-08,100
,5.00E+52,2013-02-11,100
,5.00E+52,2013-01-28,100
,5.00E+52,2013-01-16,100
,5.00E+52,2013-02-25,100
,5S31,2013-02-27,
,5S31,2013-01-17,
,5S31,2013-02-07,
,5S31,2013-02-09,
,5S31,2013-02-04,
,5S31,2013-02-12,
,5S31,2013-02-16,
,CU11,2013-01-28,
,CU11,2013-02-25,
,CU11,2013-01-12,
,CU11,2013-01-20,
,CU11,2013-01-01,
,CU11,2013-02-05,
,5S31,2013-01-03,
,8C56,2013-02-11,0
,8C56,2013-02-19,99.98779
,8C56,2013-02-03,99.98779
,8C56,2013-02-27,99.98779
,8C56,2013-01-20,99.98779
,4J71,2013-02-11,100
,2C12,2013-01-17,0
,2C12,2013-02-28,0
,2C12,2013-01-23,0
,2A32,2013-02-01,16.90522
,5S31,2013-01-04,
,5S31,2013-02-06,
,LS21,2013-02-10,
,LS21,2013-01-21,
,LS21,2013-02-09,
,LS21,2013-01-19,
,LS21,2013-03-01,
,LS21,2013-02-13,
,LS21,2013-01-09,
,5S31,2013-01-04,
,5G11,2013-02-09,
,5G11,2013-02-17,
,5G11,2013-01-01,
,5G11,2013-01-19,
,5G11,2013-02-25,
,3B37,2013-02-22,
,3M21,2013-02-20,91.2735
,CU31,2013-01-06,
,CU31,2013-01-16,
,CU31,2013-01-14,
,CU31,2013-01-25,
,CU31,2013-01-26,
,CU31,2013-02-04,
,CU31,2013-02-28,
,5T31,2013-01-18,
,5T31,2013-01-13,
,5T31,2013-01-17,
,5T31,2013-02-20,
,5T31,2013-01-22,
,5T31,2013-02-16,
,5T31,2013-01-14,
,8G53,2013-02-06,
,8G53,2013-02-12,
,8G53,2013-02-26,
,5S11,2013-02-06,
,5S11,2013-01-16,
,5S11,2013-01-31,
,1M31,2013-01-05,15.86126781
,3M21,2013-01-29,
,3B15,2013-01-13,78.48881609
,3B15,2013-01-20,92.17540972
,3B15,2013-02-03,76.67744902
,3B15,2013-01-02,77.55656601
,3B15,2013-02-23,69.82090672
,3B15,2013-01-07,82.33858469
,5S31,2013-02-03,
,5S31,2013-01-20,
,5S31,2013-01-27,
,5S31,2013-01-21,
,5S31,2013-01-22,
,5S31,2013-02-25,
,5S31,2013-02-09,
,5S31,2013-01-05,
,5S31,2013-01-28,
,5S31,2013-01-20,
,5S31,2013-02-14,
,5S31,2013-01-30,
,5S31,2013-02-10,
,5S31,2013-02-20,
,5S31,2013-02-15,
,CU31,2013-02-04,
,CU31,2013-02-03,
,1R52,2013-01-21,0
